module,source_name,role,lane,primary_or_optional,geography,years_available,recommended_window,access_method_r,api_key_required,main_variables,url,notes
core,ACS 1-year API,annual inequality and demographics,both,primary,state (main); metros/counties 65k+,2005-2024,2012-2024,tidycensus::get_acs() with survey='acs1',Census API key,B19083_001; B19013_001; B01003_001; B23025; B15003; B03002,https://www.census.gov/data/developers/data-sets/acs-1year.html,Main baseline inequality measure is state Gini.
core,ACS estimates guidance,sampling window guidance,both,primary,all ACS geographies,guidance page,n/a,documentation only,no,n/a,https://www.census.gov/programs-surveys/acs/guidance/estimates.html,Use ACS 1-year for state-year main design; ACS 5-year for small-area robustness only.
core,BEA consumer spending by state,real consumption outcome,consumption,primary,state,modern annual state series,2012-2024,BEA API via httr2/jsonlite; discover table names first,BEA API key,real PCE; current-dollar PCE; category components,https://www.bea.gov/data/consumer-spending/state,Main outcome lane B.
core,BEA real PCE / real income release,release timing and methodology context,consumption,primary,state,release page,n/a,documentation only,no,real PCE; real personal income; RPP context,https://www.bea.gov/news/2026/real-personal-consumption-expenditures-state-and-real-personal-income-state-2024,Confirms current state release window and RPP-based real comparisons.
core,BEA distribution of personal income,preferred inequality treatment,both,primary,state,2012-2023,2012-2023,scrape/download BEA workbook links; tidy workbook to state-year CSV,no,top 20 share; top 10 share; mean; median; disposable-income measures,https://www.bea.gov/data/special-topics/distribution-of-personal-income,Conceptually stronger than pretax money-income inequality for wellbeing/consumption.
core,BRFSS annual microdata,wellbeing outcomes,wellbeing,primary,state-year from respondent microdata,annual; current file through 2024,2012-2024,download annual XPT/ZIP; read with haven; aggregate with survey package,no,GENHLTH; MENTHLTH; PHYSHLTH; _STATE; _LLCPWT; _STSTR; _PSU,https://www.cdc.gov/brfss/annual_data/annual_2024.html,Primary wellbeing lane.
extension,Household Pulse Survey PUF,hardship and short-run wellbeing extension,wellbeing,extension,respondent/state-period,2020-2025,2020-2025,scrape CSV/ZIP links from Census PUF page,no,food insufficiency; expense difficulty; housing insecurity; anxiety/depression,https://www.census.gov/programs-surveys/household-pulse-survey/data/datasets.html,Use only after building a variable crosswalk because design changed over time.
extension,HPS / HTOPS tables page,documentation for tables and redesign,wellbeing,extension,state/national tables,2020-2025,2020-2025,documentation only,no,n/a,https://www.census.gov/programs-surveys/household-pulse-survey/data/tables.html,Useful for understanding phase changes and table structure.
extension,CEX public-use microdata,direct household expenditure robustness,consumption,extension,selected states / selected MSAs,annual PUMD,user-selected,download PUMD ZIPs and read in R,no,total expenditures; food; housing; transport; health; weights,https://www.bls.gov/cex/pumd_data.htm,Do not use as the main integrated design because geography is restricted.
controls,BLS LAUS,unemployment control,both,recommended,state/county/metro,monthly and annual,2012-2024,BLS API / flat files / manual import,optional BLS API key,unemployment rate; employment; labor force,https://www.bls.gov/lau/,ACS unemployment is the simpler fallback for the first pass.
controls,BLS QCEW,industry-structure controls,both,optional,state/county,annual and quarterly,2012-2024,download CSV files from QCEW page,no,employment and wages by industry,https://www.bls.gov/cew/downloadable-data-files.htm,Useful for mechanism controls; not required for first paper.
controls,DOL state minimum wage,institutional control / moderator,both,optional,state,historical + current,2012-2024,scrape page and linked resources in R,no,state minimum wage level by effective year,https://www.dol.gov/agencies/whd/minimum-wage/state,Good robustness variable; bad main instrument for inequality.
controls,BLS union membership release,institutional context / moderator,both,optional,state,annual release tables,2012-2025,scrape or manually compile official annual state tables,no,union membership rate and counts,https://www.bls.gov/news.release/union2.htm,"Treat as broad characterization, not precise local year-to-year signal."
controls,FHFA House Price Index,housing cost pressure control,both,recommended,state/metro/county/ZIP/tract,quarterly long history,2012-2024,scrape/download FHFA HPI files,no,state HPI; annual growth; rolling growth,https://www.fhfa.gov/data/hpi,Recommended housing-pressure control.
controls,Census Building Permits Survey,housing supply control,both,recommended,state/county/place,monthly and annual,2012-2024,scrape/download annual XLSX/CSV files,no,permits; single-family permits; multifamily permits,https://www.census.gov/construction/bps/,Useful for housing mechanism tests and controls.
extension,CDC WONDER,mortality extension,wellbeing,extension,state/county,final mortality through 2024,2012-2024,"manual query/export, then read CSV in R",no,all-cause and cause-specific mortality rates,https://wonder.cdc.gov/,"Secondary extension, not required for first paper."
controls,SAIPE,poverty / small-area robustness,both,optional,state/county/school district,annual,2012-2024,download tables / APIs,no,poverty estimates; median income,https://www.census.gov/data-tools/demo/saipe/#/,Use cautiously because poverty can be downstream of inequality.
