feature,importance
l1_college_share,0.13060441578038443
l1_hpi_yoy,0.09560876023623055
l1_rpp_all_items,0.08540150446487416
l1_qcew_professional_business_share,0.07945214538695787
l1_unemployment_rate,0.07943740074581546
l1_black_share,0.07886102288994075
l1_log_real_mean_income,0.06947583941362527
l1_permits_per_1000,0.0676225835584998
l1_state_min_wage_nominal,0.06640072838622574
l1_union_membership_rate,0.06542690287110361
l1_qcew_private_avg_wkly_wage,0.06332033965579272
l1_hispanic_share,0.061816262974960096
l1_qcew_manufacturing_share,0.05657209363558949
