term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,spec,outcome,treatment,control_count,branch,subgroup,outcome_variant,weight_var
l1_disp_top10_share_z,-0.5549784852121712,0.6845770594335348,-0.8106881140180155,0.4213868759302788,-1.9299919758725412,0.820035005448199,cce_dynamic_fe,305,baseline,frequent_mental_distress_rate,l1_disp_top10_share_z,8,latent_factor,NA,NA,NA
l1_disp_top10_share_z,0.5596533642070931,0.8148862042235843,0.6867871382610109,0.49538993160756384,-1.0770937466113883,2.1964004750255746,cce_dynamic_fe,305,baseline,fair_poor_health_rate,l1_disp_top10_share_z,8,latent_factor,NA,NA,NA
l1_disp_top10_share_z,-0.5626782770813551,0.7928661215330635,-0.7096762767380909,0.4812015130408329,-2.155196750162579,1.0298401959998684,cce_dynamic_fe,304,rich,frequent_mental_distress_rate,l1_disp_top10_share_z,13,latent_factor,NA,NA,NA
l1_disp_top10_share_z,0.16680562780382868,0.8882539015918177,0.187790481420797,0.8518009376731183,-1.6173048400974692,1.9509160957051264,cce_dynamic_fe,304,rich,fair_poor_health_rate,l1_disp_top10_share_z,13,latent_factor,NA,NA,NA
l1_disp_top10_share_z,0.7378514426867141,1.054496968238111,0.6997188848437765,0.48734569911728653,-1.3801680515505694,2.8558709369239974,dynamic_fe_subgroup,305,baseline,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,subgroup_reverse_causality,age_65_plus,NA,NA
l1_disp_top10_share_z,1.2615635073739953,1.1469487027017886,1.0999301925205691,0.2766302440083353,-1.0421507605498286,3.565277775297819,dynamic_fe_subgroup,305,baseline,fair_poor_health_rate,l1_disp_top10_share_z,NA,subgroup_reverse_causality,age_65_plus,NA,NA
l1_disp_top10_share_z,-0.4847443037745497,0.8124167686818627,-0.5966694958316062,0.5534202293280208,-2.116531407333961,1.1470427997848618,dynamic_fe_subgroup,305,baseline,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,subgroup_reverse_causality,retired,NA,NA
l1_disp_top10_share_z,1.8784772376669097,1.365954557245666,1.3752121018247512,0.1751964976146189,-0.8651232350044327,4.622077710338252,dynamic_fe_subgroup,305,baseline,fair_poor_health_rate,l1_disp_top10_share_z,NA,subgroup_reverse_causality,retired,NA,NA
l1_disp_top10_share_z,0.24268149771606445,0.7243467946726407,0.3350349577038457,0.7390002871959738,-1.2122118570446467,1.6975748524767758,dynamic_fe_age_std,305,baseline,frequent_mental_distress_rate,l1_disp_top10_share_z,8,measurement,NA,frequent_mental_distress_rate_age_std,NA
l1_disp_top10_share_z,1.0008433992425267,0.6439460344451473,1.554234898122943,0.12643592115922095,-0.29256027594342426,2.294247074428478,dynamic_fe_precision_weighted,305,baseline,frequent_mental_distress_rate,l1_disp_top10_share_z,8,measurement,NA,frequent_mental_distress_rate,frequent_mental_distress_rate_precision_wt
l1_disp_top10_share_z,0.9315072411043472,0.6427814893246704,1.4491818083980958,0.15353010076469567,-0.35955737636841734,2.2225718585771115,dynamic_fe_age_std_precision_weighted,305,baseline,frequent_mental_distress_rate,l1_disp_top10_share_z,8,measurement,NA,frequent_mental_distress_rate_age_std,frequent_mental_distress_rate_age_std_precision_wt
l1_disp_top10_share_z,1.2622863958894488,0.9122519681330338,1.3837036695824037,0.17259570542527738,-0.570025607236009,3.094598399014907,dynamic_fe_age_std,305,baseline,fair_poor_health_rate,l1_disp_top10_share_z,8,measurement,NA,fair_poor_health_rate_age_std,NA
l1_disp_top10_share_z,1.500515489655156,0.6868576871310497,2.184609006740087,0.03363287241145749,0.1209212234516328,2.8801097558586792,dynamic_fe_precision_weighted,305,baseline,fair_poor_health_rate,l1_disp_top10_share_z,8,measurement,NA,fair_poor_health_rate,fair_poor_health_rate_precision_wt
l1_disp_top10_share_z,1.4668187882741968,0.687597241210459,2.1332528700842106,0.03783508729751,0.08573908398558472,2.847898492562809,dynamic_fe_age_std_precision_weighted,305,baseline,fair_poor_health_rate,l1_disp_top10_share_z,8,measurement,NA,fair_poor_health_rate_age_std,fair_poor_health_rate_age_std_precision_wt
l1_disp_top10_share_z,0.08382539801604959,0.8379209305078271,0.10003974714564856,0.9207128187518684,-1.5991883221753949,1.7668391182074938,dynamic_fe_age_std,304,rich,frequent_mental_distress_rate,l1_disp_top10_share_z,13,measurement,NA,frequent_mental_distress_rate_age_std,NA
l1_disp_top10_share_z,0.8282233064586284,0.7435398989422188,1.1138922169972083,0.27065152078589416,-0.665220532772244,2.321667145689501,dynamic_fe_precision_weighted,304,rich,frequent_mental_distress_rate,l1_disp_top10_share_z,13,measurement,NA,frequent_mental_distress_rate,frequent_mental_distress_rate_precision_wt
l1_disp_top10_share_z,0.7012061051524098,0.760041977308049,0.9225886544266584,0.3606523109936217,-0.8253831339487517,2.2277953442535714,dynamic_fe_age_std_precision_weighted,304,rich,frequent_mental_distress_rate,l1_disp_top10_share_z,13,measurement,NA,frequent_mental_distress_rate_age_std,frequent_mental_distress_rate_age_std_precision_wt
l1_disp_top10_share_z,0.6059602806201433,0.9805097550771076,0.6180053563796419,0.5393767383345364,-1.363451522443666,2.575372083683953,dynamic_fe_age_std,304,rich,fair_poor_health_rate,l1_disp_top10_share_z,13,measurement,NA,fair_poor_health_rate_age_std,NA
l1_disp_top10_share_z,0.8765788529972074,0.7401666862809526,1.1842992521072144,0.24189396779702865,-0.610089689205825,2.36324739520024,dynamic_fe_precision_weighted,304,rich,fair_poor_health_rate,l1_disp_top10_share_z,13,measurement,NA,fair_poor_health_rate,fair_poor_health_rate_precision_wt
l1_disp_top10_share_z,0.925020070881946,0.7402667523783864,1.2495766801763957,0.21727201888692463,-0.5618494599928994,2.4118896017567915,dynamic_fe_age_std_precision_weighted,304,rich,fair_poor_health_rate,l1_disp_top10_share_z,13,measurement,NA,fair_poor_health_rate_age_std,fair_poor_health_rate_age_std_precision_wt
l1_disp_top10_share_z,1.2693788279283875,0.7736883960760979,1.640684847241182,0.1071395850635992,-0.28462004993688095,2.823377705793656,dynamic_fe_falsification,305,baseline,frequent_physical_distress_rate,l1_disp_top10_share_z,8,within_brfss_falsification,NA,NA,NA
l1_disp_top10_share_z,26.614845653323695,20.15385760392709,1.3205831943626338,0.19265335022433103,-13.865368681025265,67.09505998767266,dynamic_fe_falsification,305,baseline,mean_bad_physical_days,l1_disp_top10_share_z,8,within_brfss_falsification,NA,NA,NA
l1_acs_gini_z,0.00302401205875604,0.00215352372011436,1.4042158117466406,0.16643604765855036,-0.00130146763240479,0.00734949174991688,dynamic_fe_falsification,305,baseline,frequent_physical_distress_rate,l1_acs_gini_z,8,within_brfss_falsification,NA,NA,NA
l1_acs_gini_z,0.05183118711355068,0.06095461098457559,0.8503243032207428,0.3991984744190663,-0.07059975220407574,0.1742621264311771,dynamic_fe_falsification,305,baseline,mean_bad_physical_days,l1_acs_gini_z,8,within_brfss_falsification,NA,NA,NA
l1_disp_mean_median_gap_z,0.00335089374117947,0.00221754116594692,1.5110852473165168,0.13706149754009217,-0.00110316877414177,0.00780495625650072,dynamic_fe_falsification,305,baseline,frequent_physical_distress_rate,l1_disp_mean_median_gap_z,8,within_brfss_falsification,NA,NA,NA
l1_disp_mean_median_gap_z,0.06425271686250215,0.06458785639364986,0.9948111061450144,0.32461831349199943,-0.06547581062801865,0.19398124435302297,dynamic_fe_falsification,305,baseline,mean_bad_physical_days,l1_disp_mean_median_gap_z,8,within_brfss_falsification,NA,NA,NA
l1_disp_top10_share_z,0.7124726476864274,0.8049860442428614,0.8850745336294016,0.38035311859377297,-0.904389406591518,2.3293347019643726,dynamic_fe_falsification,304,rich,frequent_physical_distress_rate,l1_disp_top10_share_z,13,within_brfss_falsification,NA,NA,NA
l1_disp_top10_share_z,13.453580778008137,20.761832447571955,0.6479958265717292,0.5199523500526315,-28.24778696847175,55.15494852448802,dynamic_fe_falsification,304,rich,mean_bad_physical_days,l1_disp_top10_share_z,13,within_brfss_falsification,NA,NA,NA
l1_acs_gini_z,0.00222637116120127,0.00200653338728106,1.1095609847878511,0.2724963713755485,-0.0018038697575565,0.00625661207995906,dynamic_fe_falsification,304,rich,frequent_physical_distress_rate,l1_acs_gini_z,13,within_brfss_falsification,NA,NA,NA
l1_acs_gini_z,0.03518191646943519,0.05714028031092681,0.6157113034446811,0.5408778431923392,-0.07958771421706853,0.14995154715593892,dynamic_fe_falsification,304,rich,mean_bad_physical_days,l1_acs_gini_z,13,within_brfss_falsification,NA,NA,NA
l1_disp_mean_median_gap_z,0.00165648140068255,0.00239161462539294,0.6926205347194622,0.4917522307692671,-0.0031472179477839,0.006460180749149,dynamic_fe_falsification,304,rich,frequent_physical_distress_rate,l1_disp_mean_median_gap_z,13,within_brfss_falsification,NA,NA,NA
l1_disp_mean_median_gap_z,0.0262029474315231,0.06799278998266461,0.3853783237635018,0.7015918246910694,-0.11036459044531124,0.16277048530835744,dynamic_fe_falsification,304,rich,mean_bad_physical_days,l1_disp_mean_median_gap_z,13,within_brfss_falsification,NA,NA,NA
