term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,subgroup,outcome,treatment,spec
l1_disp_top10_share_z,0.7378514426867141,1.0544969682381107,0.6997188848437765,0.48734569911728653,-1.3801680515505694,2.8558709369239974,dynamic_fe_subgroup,305,age_65_plus,frequent_mental_distress_rate,l1_disp_top10_share_z,baseline
l1_disp_top10_share_z,1.2615635073739953,1.1469487027017886,1.0999301925205691,0.2766302440083353,-1.0421507605498286,3.565277775297819,dynamic_fe_subgroup,305,age_65_plus,fair_poor_health_rate,l1_disp_top10_share_z,baseline
l1_acs_gini_z,-0.0017014345517201938,0.0027648056677388607,-0.6153902864036288,0.5410880709038554,-0.00725471016884491,0.003851841065404523,dynamic_fe_subgroup,305,age_65_plus,frequent_mental_distress_rate,l1_acs_gini_z,baseline
l1_acs_gini_z,0.002447544462590061,0.0037577447638147366,0.6513333439138096,0.5178138884664694,-0.005100108023718949,0.009995196948899072,dynamic_fe_subgroup,305,age_65_plus,fair_poor_health_rate,l1_acs_gini_z,baseline
l1_disp_mean_median_gap_z,0.0029435429174081472,0.0032067857275807194,0.9179106954641558,0.3630723634892229,-0.0034974757762787747,0.00938456161109507,dynamic_fe_subgroup,305,age_65_plus,frequent_mental_distress_rate,l1_disp_mean_median_gap_z,baseline
l1_disp_mean_median_gap_z,0.005094659921265282,0.003677125744060249,1.385500599073831,0.17204917522709362,-0.0022910644983072208,0.012480384340837784,dynamic_fe_subgroup,305,age_65_plus,fair_poor_health_rate,l1_disp_mean_median_gap_z,baseline
l1_disp_top10_share_z,-0.4847443037745497,0.8124167686818627,-0.5966694958316062,0.5534202293280208,-2.116531407333961,1.1470427997848618,dynamic_fe_subgroup,305,retired,frequent_mental_distress_rate,l1_disp_top10_share_z,baseline
l1_disp_top10_share_z,1.8784772376669097,1.365954557245666,1.3752121018247512,0.1751964976146189,-0.8651232350044327,4.622077710338252,dynamic_fe_subgroup,305,retired,fair_poor_health_rate,l1_disp_top10_share_z,baseline
l1_acs_gini_z,2.1707598987128022e-4,0.0023372637926915006,0.09287611888314246,0.9263731292459685,-0.004477456498322417,0.004911608478064977,dynamic_fe_subgroup,305,retired,frequent_mental_distress_rate,l1_acs_gini_z,baseline
l1_acs_gini_z,0.005140738935627584,0.004347259166204341,1.1825241466144385,0.24259070450583933,-0.0035909880753157005,0.013872465946570867,dynamic_fe_subgroup,305,retired,fair_poor_health_rate,l1_acs_gini_z,baseline
l1_disp_mean_median_gap_z,6.39245209858503e-4,0.0023746380503943776,0.2691969033985359,0.788885945170785,-0.004130355684202309,0.005408846103919315,dynamic_fe_subgroup,305,retired,frequent_mental_distress_rate,l1_disp_mean_median_gap_z,baseline
l1_disp_mean_median_gap_z,0.007520640386888808,0.004580436536793734,1.6419047238133313,0.10688552181710093,-0.0016794371564874972,0.01672071793026511,dynamic_fe_subgroup,305,retired,fair_poor_health_rate,l1_disp_mean_median_gap_z,baseline
